CONTNUM|MFGPART|MFGNAME|PRODNAME|VENDPART|PRODDESC|PRODDESC2|PRODDESC3|PRODDESC4|NSN|VALUE1|VALUE2|VALUE3|DVOLUME|D_VUNIT|ISSCODE|QTY_UNIT|QP_UNIT|STDPACK|WEIGHT|SIN|PPOINT|INCR_OF|P_WWW|WARNUMBER|WARPERIOD|P_DELIV|LEADTIME|UNIT1|UNIT2|UNIT3|TYPE1|TYPE2|TYPE3|ITEMTYPE|UPC|UNSPSC|FOB_AK|FOB_HI|FOB_PR|FOB_US|PSC_CODE|GSAPRICE|TEMPRICE|TPRSTART|TPRSTOP|MLP|ZONE_NUM
47QSHA19D003A|25026-CPPL|CASTROL|BRAYCOTE 610 (35 LB)|25026-CPPL|BRAYCOTE 610 (35 lb) - 1 Pail - 35 Pounds|||||12|12|16|1.33|CF|PA|1|EA||40|834 900|US||http://https://www.acilube.com/braycote-610-35lb-mil-prf-10924-grease.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|441.04|0|||451.27|00
47QSHA19D003A|25052-AECP|CASTROL|BRAYCOTE 868   12-1 LB - 1 CAS|25052-AECP|BRAYCOTE 868   12x1 lb - 1 Case|||||21|17|7|1.45|CF|CA|14|LB||14|834 900|US||http://https://www.acilube.com/braycote-868-1lb-mil-dtl-25681-grease.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|W|8020|870.96|0|||891.16|00
47QSHA19D003A|25087-CECS|CASTROL|BRAYCOTE 444 (10X14.1OZ CART)|25087-CECS|BRAYCOTE 444 (10x14.1oz Cart) - 1 Case|||||11|5|16|0.32|CF|CT|10|BO||10|834 900|US||http://https://www.acilube.com/braycote-444-14oz-bms-334a-grease.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|5423.4|0|||5549.2|00
47QSHA19D003A|25087-CEP|CASTROL|BRAYCOTE 444 - 1 PAIL - 35 POUNDS|25087-CEP|BRAYCOTE 444 - 1 Pail - 35 Pounds|||||12|12|16|1.33|CF|PA|1|EA||40|834 900|US||http://https://www.acilube.com/braycote-444-35lb-bms-334-grease.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|19916.42|0|||20378.4|00
47QSHA19D003A|25113-ATCN|CASTROL|BRAYCOTE 3214  6.5 LB CAN|25113-ATCN|BRAYCOTE 3214  6.5 LB CAN|||||14|14|10|1.13|CF|CN|1|EA||50|834 900|US||http://https://www.acilube.com/braycote-3214-6-5lb-mil-prf-32014-grease.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|167.31|0|||172.48|00
47QSHA19D003A|25113-ATCS|CASTROL|BRAYCOTE 3214 50 X 14 OZ CARTRIDGE|25113-ATCS|BRAYCOTE 3214 50 x 14 OZ CARTRIDGE|||||25|12|11|1.91|CF|CA|50|CQ||50|834 900|US||https://www.acilube.com/braycote-3214-14oz-mil-prf-32014-grease.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1251.83|0|||1280.87|00
47QSHA19D003A|25113-ATJR|CASTROL|BRAYCOTE 3214 1.75 LB|25113-ATJR|BRAYCOTE 3214 1.75 LB|||||3|3|6|0.03|CF|CN|1|EA||1.75|834 900|US||http://https://www.acilube.com/royco-1-75-mil-prf-32014-grease.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|47.73|0|||48.84|00
47QSHA19D003A|25113-ATPL|CASTROL|BRAYCOTE 3214 35 LB PAIL|25113-ATPL|BRAYCOTE 3214 - 1 Pail - 35 Pounds|||||12|12|16|1.33|CF|PA|35|LB||40|834 900|US||http://https://www.acilube.com/braycote-3214-1-75-mil-prf-32014-grease.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|860.64|0|||880.6|00
47QSHA19D003A|27002-AECZ|CASTROL|BRAYCO 599 12 - 8 OZ|27002-AECZ|BRAYCO 599 12 - 8 oz Case|||||9|7|6|0.22|CF|CA|12|CN||6|834 900|US||http://https://www.acilube.com/royco-599-8oz-mil-prf-23699-corrosion-preventives|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|270.56|0|||276.84|00
47QSHA19D003A|27002-AEDR|CASTROL|BRAYCO 599 DRUM|27002-AEDR|BRAYCO 599 55 Gallon Drum|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||http://https://www.acilube.com/brayco-599-55gl-mil-prf-23699.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|8943.21|0|||9151.27|00
