DUNS,VENDOR NAME,CONTRACT NUMBER/OFFER NUMBER,SIN,MANUFACTURER NAME,MFGPART,VENDPART,UPC-A,PRODNAME,PRODUCT DESCRIPTION,UOI,GREEN CERTIFICATION,RECYCLED AND/OR POST CONSUMER MATERIAL CONTENT %,COMMERCIAL LIST PRICE,MOST FAVORED CUSTOMER (MFC), DISCOUNT OFFERED TO MFC (%),MFC PRICE, GSA(%) DISCOUNT (exclusive of the .75% IFF),DISCOUNT PRICE OFFERED TO GSA (excluding IFF),PRICE,QUANTITY/VOLUME DISCOUNT,COO,"CDM SIN Only: Manage ""What is on the network?""","CDM SIN Only: Manage ""Who is on the network?""","CDM SIN Only: Manage ""How is the network protected?""","CDM SIN Only: Manage ""What is happening on the network?""",Emerging Tools and Technology,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-10.5D,K-1013257-10.5D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10.5D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10.5D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-10.5EE,K-1013257-10.5EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10.5EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10.5EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-10D,K-1013257-10D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-10EE,K-1013257-10EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-11.5D,K-1013257-11.5D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11.5D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11.5D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-11.5EE,K-1013257-11.5EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11.5EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11.5EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-11D,K-1013257-11D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-11EE,K-1013257-11EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-12D,K-1013257-12D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 12D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 12D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-12EE,K-1013257-12EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 12EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 12EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-13D,K-1013257-13D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 13D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 13D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
