VENDPART,PRODNAME,PSC_CODE,GSAPRICE,ISSCODE,QTY_UNIT,MFGPART,OEM_CAGE,MFGNAME,PRODDESC,P_DELIV,LONG_DESCRIPTION,UPC,HAZMAT,TPRSTART,TPRSTOP,TEMPRICE,SHIPPING_STANDARD,SHIPPING_EXPEDITED,SHIPPING_NEXTDAY,Environmentally Preferred Indicator,Environmentally Preferred Justifying Comment,Energy Star Indicator,Energy Star Justifying Comment,Made in the USA Indicator,Made in the USA Justifying Comment,Characteristic Information
2RPZ3,Windshield Washer Tablets PK25,4910,17.38,PK,25,230395,,303,"230395, MFR 303, Windshield Washer Additive/Concentrate Washer Fluid Type Summer Blend Size 1 Tablet Size/Net Weight - Blue Tube 1 Tablet 1 gal Dilution Ratio Freezing Point (F) 32 F Flash Point (F) - - Specific Gravity - Viscosity Index VOC Content - For Use With Water and Washer Fluid For Autos/Light/Heavy Duty Trucks Package Quantity 25",3,"230395, MFR 303, Windshield Washer Additive/Concentrate Washer Fluid Type Summer Blend Size 1 Tablet Size/Net Weight - Blue Tube 1 Tablet 1 gal Dilution Ratio Freezing Point (F) 32 F Flash Point (F) - - Specific Gravity - Viscosity Index VOC Content - For Use With Water and Washer Fluid For Autos/Light/Heavy Duty Trucks Package Quantity 25",,,,,,,,,,,,,,,
6YHE6,Vehicle Protectant 16 oz.,4910,15.45,EA,1,303086YHE6,,303,"30308, MFR 303, Vehicle Protectant 303 Aerospace 16 oz. Plastic Bottle White Milky White Milky Liquid pH 7.0-7.9 For Use With Vehicle Interiors and Exteriors",3,"30308, MFR 303, Vehicle Protectant 303 Aerospace 16 oz. Plastic Bottle White Milky White Milky Liquid pH 7.0-7.9 For Use With Vehicle Interiors and Exteriors",,,,,,,,,,,,,,,
6YHE5,Vehicle Interior Protectant 1 Gal,4910,70.94,EA,1,303206YHE5,,303,"30320, MFR 303, Vehicle Interior Protectant 303 Aerospace 1 gal. Plastic Bottle White Milky White Milky Liquid pH 7.0-7.9",3,"30320, MFR 303, Vehicle Interior Protectant 303 Aerospace 1 gal. Plastic Bottle White Milky White Milky Liquid pH 7.0-7.9",,,,,,,,,,,,,,,
36EA38,Stamp Kit Black 10 Plastic,5350,20.96,EA,1,038930,,2000PLUS,"038930, MFR 2000PLUS, Stamp Kit Number of Bands 0 Font 10 Character Height 9-64 In. Imprint Area Width 2-1/4 In. Imprint Area Height 7/8 In. Ink Color Black Overall Height 8-3/4 In. Overall Length 6 In. Overall Width 1-3/4 In. Material Plastic For Use With Cosco Self-Ink Refill Black Features 6-Lines to create your custom message Includes Self-Inking Stamp Ink Pad Tweezer and Type with Over 725 Characters In 2 Sizes",4,"038930, MFR 2000PLUS, Stamp Kit Number of Bands 0 Font 10 Character Height 9-64 In. Imprint Area Width 2-1/4 In. Imprint Area Height 7/8 In. Ink Color Black Overall Height 8-3/4 In. Overall Length 6 In. Overall Width 1-3/4 In. Material Plastic For Use With Cosco Self-Ink Refill Black Features 6-Lines to create your custom message Includes Self-Inking Stamp Ink Pad Tweezer and Type with Over 725 Characters In 2 Sizes",,,,,,,,,,,,,,,
36EA39,Message Date Stamp Blue/Red 12 Plastic,5350,17.33,EA,1,038931,,2000PLUS,"038931, MFR 2000PLUS, Message Date Stamp Legend Completed Emailed Entered Scanned Number of Bands 5 Font 12 Character Height 5/32 In. Imprint Area Width 1-3/4 In. Imprint Area Height 1 In. Ink Color Blue/Red Overall Height 7 In. Overall Length 3-3/4 In. Overall Width 2-5/8 In. Material Plastic For Use With Cosco Self-Ink Refill Blue and Red Features 4 Popular E-Messages alone or with Dater for office use 5 year date band Includes Self-Inking Stamp",4,"038931, MFR 2000PLUS, Message Date Stamp Legend Completed Emailed Entered Scanned Number of Bands 5 Font 12 Character Height 5/32 In. Imprint Area Width 1-3/4 In. Imprint Area Height 1 In. Ink Color Blue/Red Overall Height 7 In. Overall Length 3-3/4 In. Overall Width 2-5/8 In. Material Plastic For Use With Cosco Self-Ink Refill Blue and Red Features 4 Popular E-Messages alone or with Dater for office use 5 year date band Includes Self-Inking Stamp",,,,,,,,,,,,,,,
3RAN7,Message Stamp Confidential 5/16 ,7510,12.69,EA,1,035346,,2000PLUS,"035346, MFR 2000PLUS, Message Stamp Legend Confidential Ink Color Blue Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",5,"035346, MFR 2000PLUS, Message Stamp Legend Confidential Ink Color Blue Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",,,,,,,,,,,,,,,
3RAN8,Message Stamp Copy 5/16 ,7510,12.69,EA,1,035347,,2000PLUS,"035347, MFR 2000PLUS, Message Stamp Legend Copy Ink Color Blue Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",5,"035347, MFR 2000PLUS, Message Stamp Legend Copy Ink Color Blue Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",,,,,,,,,,,,,,,
3RAP1,Message Stamp Faxed 5/16 ,7510,12.93,EA,1,035349,,2000PLUS,"035349, MFR 2000PLUS, Message Stamp Legend Faxed Ink Color Red Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",5,"035349, MFR 2000PLUS, Message Stamp Legend Faxed Ink Color Red Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",,,,,,,,,,,,,,,
3RAP2,Message Stamp Paid 5/16 ,7510,12.93,EA,1,035350,,2000PLUS,"035350, MFR 2000PLUS, Message Stamp Legend Paid Ink Color Red Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",5,"035350, MFR 2000PLUS, Message Stamp Legend Paid Ink Color Red Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",,,,,,,,,,,,,,,
3RAP3,Message Stamp Posted 5/16 ,7510,12.93,EA,1,035351,,2000PLUS,"035351, MFR 2000PLUS, Message Stamp Legend Posted Ink Color Red Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",5,"035351, MFR 2000PLUS, Message Stamp Legend Posted Ink Color Red Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",,,,,,,,,,,,,,,
