VENDPART,PRODNAME,PSC_CODE,GSAPRICE,ISSCODE,QTY_UNIT,MFGPART,OEM_CAGE,MFGNAME,PRODDESC,P_DELIV,LONG_DESCRIPTION,UPC,HAZMAT,TPRSTART,TPRSTOP,TEMPRICE,SHIPPING_STANDARD,SHIPPING_EXPEDITED,SHIPPING_NEXTDAY,Environmentally Preferred Indicator,Environmentally Preferred Justifying Comment,Energy Star Indicator,Energy Star Justifying Comment,Made in the USA Indicator,Made in the USA Justifying Comment,Characteristic Information
K-1013257-10-5D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10.5D",8430,197.83,EA,0,1013257-10.5D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10.5D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10.5D",,,,,,,,,,,,,,,
K-1013257-10-5EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10.5EE",8430,197.83,EA,0,1013257-10.5EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10.5EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10.5EE",,,,,,,,,,,,,,,
K-1013257-10D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10D",8430,197.83,EA,0,1013257-10D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10D",,,,,,,,,,,,,,,
K-1013257-10EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10EE",8430,197.83,EA,0,1013257-10EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 10EE",,,,,,,,,,,,,,,
K-1013257-11-5D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11.5D",8430,197.83,EA,0,1013257-11.5D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11.5D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11.5D",,,,,,,,,,,,,,,
K-1013257-11-5EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11.5EE",8430,197.83,EA,0,1013257-11.5EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11.5EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11.5EE",,,,,,,,,,,,,,,
K-1013257-11D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11D",8430,197.83,EA,0,1013257-11D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11D",,,,,,,,,,,,,,,
K-1013257-11EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11EE",8430,197.83,EA,0,1013257-11EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 11EE",,,,,,,,,,,,,,,
K-1013257-12D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 12D",8430,197.83,EA,0,1013257-12D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 12D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 12D",,,,,,,,,,,,,,,
K-1013257-12EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 12EE",8430,197.83,EA,0,1013257-12EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 12EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 12EE",,,,,,,,,,,,,,,
K-1013257-13D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 13D",8430,197.83,EA,0,1013257-13D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 13D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 13D",,,,,,,,,,,,,,,
K-1013257-13EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 13EE",8430,197.83,EA,0,1013257-13EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 13EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 13EE",,,,,,,,,,,,,,,
K-1013257-14D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 14D",8430,197.83,EA,0,1013257-14D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 14D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 14D",,,,,,,,,,,,,,,
K-1013257-14EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 14EE",8430,197.83,EA,0,1013257-14EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 14EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 14EE",,,,,,,,,,,,,,,
K-1013257-15D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 15D",8430,197.83,EA,0,1013257-15D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 15D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 15D",,,,,,,,,,,,,,,
K-1013257-15EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 15EE",8430,197.83,EA,0,1013257-15EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 15EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 15EE",,,,,,,,,,,,,,,
K-1013257-7-5D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7.5D",8430,197.83,EA,0,1013257-7.5D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7.5D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7.5D",,,,,,,,,,,,,,,
K-1013257-7-5EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7.5EE",8430,197.83,EA,0,1013257-7.5EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7.5EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7.5EE",,,,,,,,,,,,,,,
K-1013257-7D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7D",8430,197.83,EA,0,1013257-7D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7D",,,,,,,,,,,,,,,
K-1013257-7EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7EE",8430,197.83,EA,0,1013257-7EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7EE",,,,,,,,,,,,,,,
K-1013257-8-5D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8.5D",8430,197.83,EA,0,1013257-8.5D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8.5D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8.5D",,,,,,,,,,,,,,,
K-1013257-8-5EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8.5EE",8430,197.83,EA,0,1013257-8.5EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8.5EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8.5EE",,,,,,,,,,,,,,,
K-1013257-8D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8D",8430,197.83,EA,0,1013257-8D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8D",,,,,,,,,,,,,,,
K-1013257-8EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8EE",8430,197.83,EA,0,1013257-8EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8EE",,,,,,,,,,,,,,,
K-1013257-9-5D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9.5D",8430,197.83,EA,0,1013257-9.5D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9.5D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9.5D",,,,,,,,,,,,,,,
K-1013257-9-5EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9.5EE",8430,197.83,EA,0,1013257-9.5EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9.5EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9.5EE",,,,,,,,,,,,,,,
K-1013257-9D,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9D",8430,197.83,EA,0,1013257-9D,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9D",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9D",,,,,,,,,,,,,,,
K-1013257-9EE,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9EE",8430,197.83,EA,0,1013257-9EE,,KEEN,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9EE",5,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 9EE",,,,,,,,,,,,,,,
K-1018024-10-5D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5D",8430,164.86,EA,0,1018024-10.5D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5D",,,,,,,,,,,,,,,
K-1018024-10-5EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5EE",8430,164.86,EA,0,1018024-10.5EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10.5EE",,,,,,,,,,,,,,,
K-1018024-10D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10D",8430,164.86,EA,0,1018024-10D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10D",,,,,,,,,,,,,,,
K-1018024-10EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10EE",8430,164.86,EA,0,1018024-10EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 10EE",,,,,,,,,,,,,,,
K-1018024-11-5D,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5D",8430,164.86,EA,0,1018024-11.5D,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5D",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5D",,,,,,,,,,,,,,,
K-1018024-11-5EE,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5EE",8430,164.86,EA,0,1018024-11.5EE,,KEEN,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5EE",5,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 11.5EE",,,,,,,,,,,,,,,
