PART_NAME,OEM_NAME,OEM_NUMBER,NEW_OEM_NUMBER,PART_NUMBER,NEW_PART_NUMBER,UPC,COMMENT
4X1/8X1-1/4 1A1 GD150 R100 PS 1/4,3M CORP,TM0220715,TM0220715,TM0220715,TM0220715,,toolong
6X1/4X1-1/4 1A1 GD150 RP100 PS 1/4,3M CORP,TM0220720,TM0220720,TM0220720,TM0220720,,toolong
7X1/4X1-1/4 1A1 GD150 R100 PS 1/4,3M CORP,TM0220724,TM0220724,TM0220724,TM0220724,,toolong
7X1/2X1-1/4 1A1 CGD120 R75 PS 1/8,3M CORP,TM0220727,TM0220727,TM0220727,TM0220727,,toolong
3-3/4X1-1/2X1-1/4 11V9 GD100 R100,3M CORP,TM0220738,TM0220738,TM0220738,TM0220738,,toolong
5X1-3/4X1-1/4 11V9 CGD100 R75,3M CORP,TM0220744,TM0220744,TM0220744,TM0220744,,toolong
3-3/4X1-1/2X1-1/4 11V9 CB100 R75,3M CORP,TM0220747,TM0220747,TM0220747,TM0220747,,toolong
5X1/2X1-1/4 1A1 GENDIE 100 3M,3M CORP,TM0220810,TM0220810,TM0220810,TM0220810,,toolong
5X1/4X1-1/4 1A1 GENDIE 100 3M,3M CORP,TM0220811,TM0220811,TM0220811,TM0220811,,toolong
4X1/4X1-1/4 1A1 GENDIE 100 3M,3M CORP,TM0220814,TM0220814,TM0220814,TM0220814,,toolong
3X1/32X3/8 3M GREEN CORPS TYPE 1,3M CORP,TM0101985,TM0101985,TM0101985,TM0101985,,toolong
3X1/16X3/8 3M GREEN CORPS TYPE 1,3M CORP,TM0101986,TM0101986,TM0101986,TM0101986,,toolong
4X1/32X3/8 3M GREEN CORPS TYPE 1,3M CORP,TM0101994,TM0101994,TM0101994,TM0101994,,toolong
4-1/2X3/64X7/8 3M GRN CORPS TYPE 1,3M CORP,TM0120275,TM0120275,TM0120275,TM0120275,,toolong
5X3/64X7/8 3M GREEN CORPS TYPE 1,3M CORP,TM0120276,TM0120276,TM0120276,TM0120276,,toolong
"3M 6""X.045X7/8 HIGH PERFORMANCE",3M CORP,TM0120349,TM0120349,TM0120349,TM0120349,,toolong
"3M 6""X.045X7/8 GENERAL PURPOSE",3M CORP,TM0120447,TM0120447,TM0120447,TM0120447,,toolong
"3M 4""X.1/32X3/8 GENERAL PURPOSE",3M CORP,TM0120448,TM0120448,TM0120448,TM0120448,,toolong
2X132 80G 777F 3M CUBITRON Y WT,3M CORP,TM1014534,TM1014534,TM1014534,TM1014534,,toolong
2X72 80G 777F 3M CUBITRON Y WT,3M CORP,TM1014884,TM1014884,TM1014884,TM1014884,,toolong
1X42 80G 777F 3M CUBITRON Y WT,3M CORP,TM1014895,TM1014895,TM1014895,TM1014895,,toolong
3-1/2X15-1/2 50G 777F 3M CUBITRON,3M CORP,TM1077334,TM1077334,TM1077334,TM1077334,,toolong
3-1/2X15-1/2 60G 777F 3M CUBITRON,3M CORP,TM1077476,TM1077476,TM1077476,TM1077476,,toolong
1X42 60G 777F 3M CUBITRON Y WT,3M CORP,TM1077512,TM1077512,TM1077512,TM1077512,,toolong
1/2X24 36G 777F 3M CUBITRON Y WT,3M CORP,TM1077643,TM1077643,TM1077643,TM1077643,,toolong
2-1/2X60 40G 777F 3M CUBITRON Y,3M CORP,TM1077825,TM1077825,TM1077825,TM1077825,,toolong
6X48 50G 777F 3M CUBITRON Y WT,3M CORP,TM1080176,TM1080176,TM1080176,TM1080176,,toolong
2X72 60G 777F 3M CUBITRON Y WT,3M CORP,TM1080286,TM1080286,TM1080286,TM1080286,,toolong
3/4X20-1/2 60G 777F 3M CUBITRON Y,3M CORP,TM1080486,TM1080486,TM1080486,TM1080486,,toolong
3/4X20-1/2 80G 777F 3M CUBITRON Y,3M CORP,TM1080686,TM1080686,TM1080686,TM1080686,,toolong
4X132 120G 777F 3M CUBITRON Y WT,3M CORP,TM1081443,TM1081443,TM1081443,TM1081443,,toolong
2X72 120G 777F 3M CUBITRON Y WT,3M CORP,TM1081767,TM1081767,TM1081767,TM1081767,,toolong
6X48 120G 777F 3M CUBITRON Y WT,3M CORP,TM1082153,TM1082153,TM1082153,TM1082153,,toolong
6X48 36G 777F 3M CUBITRON Y WT,3M CORP,TM1082313,TM1082313,TM1082313,TM1082313,,toolong
2X60 80G 777F 3M CUBITRON Y WT,3M CORP,TM1084296,TM1084296,TM1084296,TM1084296,,toolong
3/4X18 120G 777F 3M CUBITRON Y WT,3M CORP,TM1084303,TM1084303,TM1084303,TM1084303,,toolong
3-1/2X15-1/2 120G 777F 3M CUBITRON,3M CORP,TM1084307,TM1084307,TM1084307,TM1084307,,toolong
2X132 180G 777F 3M CUBITRON Y WT,3M CORP,TM1084315,TM1084315,TM1084315,TM1084315,,toolong
3/4X18 60G 777F 3M CUBITRON Y WT,3M CORP,TM1084404,TM1084404,TM1084404,TM1084404,,toolong
1/2X18 40G 777F 3M CUBITRON Y WT,3M CORP,TM1084409,TM1084409,TM1084409,TM1084409,,toolong
1/4X24 40G 777F 3M CUBITRON Y WT,3M CORP,TM1084412,TM1084412,TM1084412,TM1084412,,toolong
1-1/2X60 60G 777F 3M CUBITRON Y WT,3M CORP,TM1084416,TM1084416,TM1084416,TM1084416,,toolong
3X132 180G 777F 3M CUBITRON Y WT,3M CORP,TM1085762,TM1085762,TM1085762,TM1085762,,toolong
7X7/8 36G ABRASIVE FLAP 747D (5),3M CORP,TM1149608,TM1149608,TM1149608,TM1149608,,toolong
7X7/8 50G ABRASIVE FLAP 747D (5),3M CORP,TM1149609,TM1149609,TM1149609,TM1149609,,toolong
7X7/8 60G ABRASIVE FLAP 747D (5),3M CORP,TM1149610,TM1149610,TM1149610,TM1149610,,toolong
7X7/8 80G ABRASIVE FLAP 747D (5),3M CORP,TM1149611,TM1149611,TM1149611,TM1149611,,toolong
4-1/2X7/8 36G 3M ABR FLAP 747D (10),3M CORP,TM1149613,TM1149613,TM1149613,TM1149613,,toolong
4-1/2X7/8 50G 3M ABR FLAP 747D (10),3M CORP,TM1149614,TM1149614,TM1149614,TM1149614,,toolong
4-1/2X7/8 60G 3M ABR FLAP 747D (10),3M CORP,TM1149615,TM1149615,TM1149615,TM1149615,,toolong
4-1/2X7/8 80G 3M ABR FLAP 747D (10),3M CORP,TM1149616,TM1149616,TM1149616,TM1149616,,toolong
4-1/2X7/8 120G 3M ABR FLAP 747D (10,3M CORP,TM1149617,TM1149617,TM1149617,TM1149617,,toolong
4-1/2X7/8 40G 3M ABRASIVE FLAP (10),3M CORP,TM1161187,TM1161187,TM1161187,TM1161187,,toolong
4-1/2X7/8 60G 3M ABRASIVE FLAP (10),3M CORP,TM1161188,TM1161188,TM1161188,TM1161188,,toolong
4-1/2X7/8 80G 3M ABRASIVE FLAP (10),3M CORP,TM1161189,TM1161189,TM1161189,TM1161189,,toolong
4-1/2X7/8 120G 3M ABRASIVE FLAP(10),3M CORP,TM1161190,TM1161190,TM1161190,TM1161190,,toolong
4-1/2X5/8-11 40G 3M ABRASVE FLAP,3M CORP,TM1161191,TM1161191,TM1161191,TM1161191,,toolong
4-1/2X5/8-11 120G 3M ABRASV FLAP,3M CORP,TM1161194,TM1161194,TM1161194,TM1161194,,toolong
7X7/8 40G 3M ABRASIVE FLAP (5),3M CORP,TM1161195,TM1161195,TM1161195,TM1161195,,toolong
7X7/8 60G 3M ABRASIVE FLAP (5),3M CORP,TM1161196,TM1161196,TM1161196,TM1161196,,toolong
7X7/8 80G 3M ABRASIVE FLAP (5),3M CORP,TM1161197,TM1161197,TM1161197,TM1161197,,toolong
7X7/8 120G 3M ABRASIVE FLAP (5),3M CORP,TM1161198,TM1161198,TM1161198,TM1161198,,toolong
7X5/8-11 40G 3M ABRASIVE FLAP (5),3M CORP,TM1161199,TM1161199,TM1161199,TM1161199,,toolong
7X5/8-11 60G 3M ABRASIVE FLAP (5),3M CORP,TM1161200,TM1161200,TM1161200,TM1161200,,toolong
7X5/8-11 80G 3M ABRASIVE FLAP (5),3M CORP,TM1161201,TM1161201,TM1161201,TM1161201,,toolong
9X11 400G 3M WET/DRY TRI-M-ITE (50),3M CORP,TM1202002,TM1202002,TM1202002,TM1202002,,toolong
9X11 360G 3M WET/DRY TRI-M-ITE (50),3M CORP,TM1202003,TM1202003,TM1202003,TM1202003,,toolong
9X11 320G 3M WET/DRY TRI-M-ITE (50),3M CORP,TM1202004,TM1202004,TM1202004,TM1202004,,toolong
9X11 280G 3M WET/DRY TRI-M-ITE (50),3M CORP,TM1202005,TM1202005,TM1202005,TM1202005,,toolong
9X11 240G 3M WET/DRY TRI-M-ITE (50),3M CORP,TM1202006,TM1202006,TM1202006,TM1202006,,toolong
9X11 220G 3M WET/DRY TRI-M-ITE (50),3M CORP,TM1202007,TM1202007,TM1202007,TM1202007,,toolong
9X11 180G 3M WET/DRY S/C C WT (50),3M CORP,TM1202014,TM1202014,TM1202014,TM1202014,,toolong
9X11 150G 3M WET/DRY S/C C WT (50),3M CORP,TM1202015,TM1202015,TM1202015,TM1202015,,toolong
9X11 120G 3M WET/DRY S/C C WT (50),3M CORP,TM1202016,TM1202016,TM1202016,TM1202016,,toolong
9X11 100G 3M WET/DRY S/C C WT (50),3M CORP,TM1202017,TM1202017,TM1202017,TM1202017,,toolong
9X11 80G 3M WET/DRY S/C C WT P(50),3M CORP,TM1202018,TM1202018,TM1202018,TM1202018,,toolong
9X11 320G 3M A/O J WT UTILITY (50),3M CORP,TM1219764,TM1219764,TM1219764,TM1219764,,toolong
9X11 280G 3M A/O J WT UTILITY (50),3M CORP,TM1219765,TM1219765,TM1219765,TM1219765,,toolong
9X11 240G 3M A/O J WT UTILITY (50),3M CORP,TM1219766,TM1219766,TM1219766,TM1219766,,toolong
9X11 220G 3M A/O J WT UTILITY (50),3M CORP,TM1219767,TM1219767,TM1219767,TM1219767,,toolong
9X11 180G 3M A/O J WT UTILITY (50),3M CORP,TM1219768,TM1219768,TM1219768,TM1219768,,toolong
9X11 150G 3M A/O J WT UTILITY (50),3M CORP,TM1219769,TM1219769,TM1219769,TM1219769,,toolong
9X11 120G 3M A/O J WT UTILITY (50),3M CORP,TM1219770,TM1219770,TM1219770,TM1219770,,toolong
9X11 100G 3M A/O J WT UTILITY (50),3M CORP,TM1219771,TM1219771,TM1219771,TM1219771,,toolong
9X11 80G 3M A/O J WT UTILITY (50),3M CORP,TM1219772,TM1219772,TM1219772,TM1219772,,toolong
9X11 60G 3M A/O X WT UTILITY (50),3M CORP,TM1219773,TM1219773,TM1219773,TM1219773,,toolong
9X11 50G 3M A/O X WT UTILITY (50),3M CORP,TM1219774,TM1219774,TM1219774,TM1219774,,toolong
9X11 40G 3M A/O X WT UTILITY (50),3M CORP,TM1219775,TM1219775,TM1219775,TM1219775,,toolong
3X132 SC-BC MARON A MED,3M CORP,TM2000568,TM2000568,TM2000568,TM2000568,,toolong
2X72 SC-BC MARON A MED,3M CORP,TM2000580,TM2000580,TM2000580,TM2000580,,toolong
6X48 SC-BC MAROON A MED,3M CORP,TM2000590,TM2000590,TM2000590,TM2000590,,toolong
1/2X24 SC-BC MAROON A MED,3M CORP,TM2003998,TM2003998,TM2003998,TM2003998,,toolong
1X42 SC-BC BLUE A VFN SCOTCH-BRITE,3M CORP,TM2004190,TM2004190,TM2004190,TM2004190,,toolong
3X132 SC-BC BLUE A VFN SCOTCH-BRITE,3M CORP,TM2004289,TM2004289,TM2004289,TM2004289,,toolong
1/2X24 SC-BC BLUE A VFN SCOTCH-BRIT,3M CORP,TM2004299,TM2004299,TM2004299,TM2004299,,toolong
3X132 SC-BC BROWN SC-BS A CRS,3M CORP,TM2005023,TM2005023,TM2005023,TM2005023,,toolong
3-1/2X15-1/2 SC-BC BLUE A VFN,3M CORP,TM2005643,TM2005643,TM2005643,TM2005643,,toolong
3X10-11/16 SC-BC BROWN SC-BS A CRS,3M CORP,TM2005820,TM2005820,TM2005820,TM2005820,,toolong
1/2X18 SC-BC BLUE A VFN,3M CORP,TM2008856,TM2008856,TM2008856,TM2008856,,toolong
3/4X18 SC-BC BROWN SC-BS A CRS,3M CORP,TM2013639,TM2013639,TM2013639,TM2013639,,toolong
3/4X18 SC-BC MAROON A MED,3M CORP,TM2015899,TM2015899,TM2015899,TM2015899,,toolong
5 SC-DH MAROON A MED SCOTCH-BRITE,3M CORP,TM2100643,TM2100643,TM2100643,TM2100643,,toolong
7 SC-DH MAROON A MED SCOTCH-BRITE,3M CORP,TM2100645,TM2100645,TM2100645,TM2100645,,toolong
5 SC-DH BLUE A VFN SCOTCH-BRITE,3M CORP,TM2104303,TM2104303,TM2104303,TM2104303,,toolong
7 SC-DH BLUE A VFN SCOTCH-BRITE,3M CORP,TM2104305,TM2104305,TM2104305,TM2104305,,toolong
4-1/2 SC-DH BLUE A VFN SCOTCH-BRITE,3M CORP,TM2114099,TM2114099,TM2114099,TM2114099,,toolong
7 2/10 CR-DH SCOTCH-BRITE BLACK,3M CORP,TM2118358,TM2118358,TM2118358,TM2118358,,toolong
4X30 CF-RL A MED SCOTCH-BRITE CLEAN,3M CORP,TM2200264,TM2200264,TM2200264,TM2200264,,toolong
4X30 CF-RL A VFN SCOTCH-BRITE CLEAN,3M CORP,TM2200266,TM2200266,TM2200266,TM2200266,,toolong
4X30 CF-RL S VFN SCOTCH-BRITE CLEAN,3M CORP,TM2200270,TM2200270,TM2200270,TM2200270,,toolong
6X30 CF-RL A MED SCOTCH-BRITE CLEAN,3M CORP,TM2200274,TM2200274,TM2200274,TM2200274,,toolong
6X30 CF-RL A VFN SCOTCH-BRITE CLEAN,3M CORP,TM2200276,TM2200276,TM2200276,TM2200276,,toolong
7448 (20) HP-HP LT GRAY S ULF ULTRA,3M CORP,TM2204028,TM2204028,TM2204028,TM2204028,,toolong
7447 (20) HP-HP MAROON A VFN GP,3M CORP,TM2204029,TM2204029,TM2204029,TM2204029,,toolong
7440 (10) HP-HP TAN-A MED HD (10),3M CORP,TM2204050,TM2204050,TM2204050,TM2204050,,toolong
1X30 CP-RL A MED SCOTCH-BRITE CUT,3M CORP,TM2204085,TM2204085,TM2204085,TM2204085,,toolong
2X30 CP-RL A MED SCOTCH-BRITE CUT,3M CORP,TM2205206,TM2205206,TM2205206,TM2205206,,toolong
4X30 CP-RL A MED SCOTCH-BRITE CUT,3M CORP,TM2205207,TM2205207,TM2205207,TM2205207,,toolong
6X1/2X1 36 DK BROWN SCOTCH BRITE,3M CORP,TM3027603,TM3027603,TM3027603,TM3027603,,toolong
6X1/2X1 50 GREEN SCOTCH BRITE,3M CORP,TM3027605,TM3027605,TM3027605,TM3027605,,toolong
6X1/2X1 80 YELLOW SCOTCH BRITE,3M CORP,TM3027606,TM3027606,TM3027606,TM3027606,,toolong
6X7/16X1 120 WHITE SCOTCH BRITE,3M CORP,TM3033212,TM3033212,TM3033212,TM3033212,,toolong
6X7/16X1 220 RED SCOTCH BRITE,3M CORP,TM3033213,TM3033213,TM3033213,TM3033213,,toolong
6X7/16X1 400 BLUE SCOTCH BRITE,3M CORP,TM3033214,TM3033214,TM3033214,TM3033214,,toolong
6X7/16X1 80 YELLOW SCOTCH BRITE,3M CORP,TM3033215,TM3033215,TM3033215,TM3033215,,toolong
6X7/16X1 6 MICRON PEACH SCOTCH,3M CORP,TM3033216,TM3033216,TM3033216,TM3033216,,toolong
6X7/16X1 1 MICRON LT GREEN SCOTCH,3M CORP,TM3033217,TM3033217,TM3033217,TM3033217,,toolong
"3M 2"" TR ROLOC SCOTCH BRITE",3M CORP,TM3118730,TM3118730,TM3118730,TM3118730,,toolong
"3M 2"" TR ROLOC SCOTCH BRITE",3M CORP,TM3118732,TM3118732,TM3118732,TM3118732,,toolong
"3M 2"" TR ROLOC SCOTCH BRITE",3M CORP,TM3118733,TM3118733,TM3118733,TM3118733,,toolong
"3M 3"" TR ROLOC SCOTCH BRITE BRISTLE",3M CORP,TM3118734,TM3118734,TM3118734,TM3118734,,toolong
"3M 3"" TR ROLOC SCOTCH BRITE BRISTLE",3M CORP,TM3118736,TM3118736,TM3118736,TM3118736,,toolong
"3M 3"" TR ROLOC SCOTCH BRITE BRISTLE",3M CORP,TM3118737,TM3118737,TM3118737,TM3118737,,toolong
3M 4-1/2X5/8-11 SCOTCH BRITE,3M CORP,TM3124241,TM3124241,TM3124241,TM3124241,,toolong
3M 4-1/2X5/8-11 SCOTCH BRITE,3M CORP,TM3124242,TM3124242,TM3124242,TM3124242,,toolong
3M 4-1/2X5/8-11 SCOTCH BRITE,3M CORP,TM3124243,TM3124243,TM3124243,TM3124243,,toolong
10PC  5-1/2 DRILL OUT & X-OUT SET,ALDEN,KS40P1001,KS40P1001,KS40P1001,KS40P1001,,toolong
4PC 1/4-1/2 DRILL OUT SET,ALDEN,KS40P401,KS40P401,KS40P401,KS40P401,,toolong
4PC 5-1/4 DRILL OUT SET,ALDEN,KS40P450,KS40P450,KS40P450,KS40P450,,toolong
NO. 5-1/2 M3-M12 DRILL OUT POWER,ALDEN,KS40P701,KS40P701,KS40P701,KS40P701,,toolong
BIT,APEX,170-6,170-6,170-6,170-6,,toolong
HI-TORQUE BITS,APEX,HTS-0,HTS-0,HTS-0,HTS-0,,toolong
HI-TORQUE BITS,APEX,HTS-1,HTS-1,HTS-1,HTS-1,,toolong
HI-TORQUE BITS,APEX,HTS-10,HTS-10,HTS-10,HTS-10,,toolong
HI-TORQUE BITS,APEX,HTS-12,HTS-12,HTS-12,HTS-12,,toolong
HI-TORQUE BITS,APEX,HTS-2,HTS-2,HTS-2,HTS-2,,toolong
HI-TORQUE BITS,APEX,HTS-3,HTS-3,HTS-3,HTS-3,,toolong
HI-TORQUE BITS,APEX,HTS-3A,HTS-3A,HTS-3A,HTS-3A,,toolong
HI-TORQUE BITS,APEX,HTS-4,HTS-4,HTS-4,HTS-4,,toolong
HI-TORQUE BITS,APEX,HTS-4A,HTS-4A,HTS-4A,HTS-4A,,toolong
HI-TORQUE BITS,APEX,HTS-5,HTS-5,HTS-5,HTS-5,,toolong
HI-TORQUE BITS,APEX,HTS-6,HTS-6,HTS-6,HTS-6,,toolong
HI-TORQUE BITS,APEX,HTS-7,HTS-7,HTS-7,HTS-7,,toolong
HI-TORQUE BITS,APEX,HTS-8,HTS-8,HTS-8,HTS-8,,toolong
HI-TORQUE BITS,APEX,HTS-9,HTS-9,HTS-9,HTS-9,,toolong
PLIERS,APEX TOOL GROUP-EREM,2422E,2422E,2422E,2422E,,toolong
PLIERS,APEX TOOL GROUP-EREM,T532N,T532N,T532N,T532N,,toolong
PLIERS,APEX TOOL GROUP-EREM,T622N,T622N,T622N,T622N,,toolong
"6""X9"" MAROON HAND PAD VFN",ARC ABRASIVES,ARC-07447,ARC-07447,ARC-07447,ARC-07447,,toolong
