Item Master Primary Spec/Item Status Information/Archive,Item Master Primary Spec/Common Information/Commercial and Government Entity Code,Item Master Primary Spec/Common Information/Contract Number,Item Master Primary Spec/Common Information/Part Number,Item Master Primary Spec/Common Information/Part Name,Item Master Primary Spec/Common Information/Federal Supply Class,Item Master Primary Spec/Pricing/Original Unit Price,Item Master Primary Spec/Pricing/Original Unit of Issue,Item Master Primary Spec/Pricing/Quantity Per Unit Pack,Item Master Primary Spec/Common Information/Original Equipment Manufacturer Part Number,Item Master Primary Spec/Common Information/Original Equipment Manufacturer CAGE Code,Item Master Primary Spec/Common Information/Original Equipment Manufacturer Name,Item Master Primary Spec/Short Description,Item Master Primary Spec/Common Information/Days After Receipt of Order,Item Master Primary Spec/Long Description,Item Master Primary Spec/Common Information/Universal Product Code,Item Master Primary Spec/Commercial Information/Environmental Information/Hazardous Material Flag,Item Master Primary Spec/Sale Pricing/Sale Start Date,Item Master Primary Spec/Sale Pricing/Sale End Date,Item Master Primary Spec/Sale Pricing/Sale Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Standard Shipment Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Expedited Shipment Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Next Day Shipment Price,Item Master Primary Spec/Special Properties/Environmentally Preferred/Environmentally Preferred Indicator,Item Master Primary Spec/Special Properties/Environmentally Preferred/Justifying Comment,Item Master Primary Spec/Special Properties/Energy Star/Energy Star Indicator,Item Master Primary Spec/Special Properties/Energy Star/Justifying Comment
7FL575,KIT SV SANITIZER PUMP MOUNT DEB SNOW,7010,67.29,EA,0,7FL575,,"ERGOTRON, INC.",KIT SV SANITIZER PUMP MOUNT DEB SNOW ING!!!,8,KIT SV SANITIZER PUMP MOUNT DEB SNOW ING!!!,,,,,,,,,,,,,,,
7FH984,ACCS KIT DRAWER MOUNTED SHARPS BRACKET,7010,88.82,EA,0,7FH984,,"ERGOTRON, INC.",ACCS KIT DRAWER MOUNTED SHARPS BRACKET SNOW ING!!!,8,ACCS KIT DRAWER MOUNTED SHARPS BRACKET SNOW ING!!!,,,,,,,,,,,,,,,
6YZ056,KIT STYLEVIEW FRONT SHELF MOUNTING,7010,336.43,EA,0,6YZ056,,"ERGOTRON, INC.",KIT STYLEVIEW FRONT SHELF MOUNTING KIT LIGHT GREY ING!!!,8,KIT STYLEVIEW FRONT SHELF MOUNTING KIT LIGHT GREY ING!!!,,,,,,,,,,,,,,,
5NQ625,STYLEVIEW LIFE PWR E LIFT LCD ARM 2DRW,7010,6368.0,EA,0,5NQ625,,"ERGOTRON, INC.",STYLEVIEW LIFE PWR E LIFT LCD ARM 2DRWR ING!!!,8,STYLEVIEW LIFE PWR E LIFT LCD ARM 2DRWR ING!!!,,,,,,,,,,,,,,,
5NQ626,STYLEVIEW LIFE PWR E LIFT LCD ARM 3DRW,7010,6677.59,EA,0,5NQ626,,"ERGOTRON, INC.",STYLEVIEW LIFE PWR E LIFT LCD ARM 3DRWR ING!!!,8,STYLEVIEW LIFE PWR E LIFT LCD ARM 3DRWR ING!!!,,,,,,,,,,,,,,,
5NQ632,STYLEVIEW LIFE PWR E LIFT LCD ARM 1DBL,7010,6055.36,EA,0,5NQ632,,"ERGOTRON, INC.",STYLEVIEW LIFE PWR E LIFT LCD ARM 1DBL TALL DRWR ING!!!,8,STYLEVIEW LIFE PWR E LIFT LCD ARM 1DBL TALL DRWR ING!!!,,,,,,,,,,,,,,,
IPW845-D23-ODP,"TNR,2330/23,HY,BLK",7010,128.52,EA,0,IPW845-D23-ODP,,IPW,"TNR,2330/23,HY,BLK",8,"TNR,2330/23,HY,BLK",,,,,,,,,,,,,,,
PLR--201263-01,"SPARE,SECURITY LOCK,CALISTO 620",7010,12.76,EA,0,PLR--201263-01,,"PLANTRONICS, INC.","4108988, SPARE,SECURITY LOCK,CALISTO 620, OCC CORDLESS UPC=00017229144194",8,"4108988, SPARE,SECURITY LOCK,CALISTO 620, OCC CORDLESS UPC=00017229144194",,,,,,,,,,,,,,,
7MQ709,RMK4 US RACK MOU,7010,116.4,EA,0,7MQ709,,SEH TECHNOLOGY,RMK4 US RACK MOUNT KIT DONGLESERVER PROMAX ING!!!,8,RMK4 US RACK MOUNT KIT DONGLESERVER PROMAX ING!!!,,,,,,,,,,,,,,,
7MQ708,RMK 3 US RACK MOU,7010,110.26,EA,0,7MQ708,,SEH TECHNOLOGY,RMK 3 US RACK MOUNT KIT DONGLESERVER PRO ING!!!,8,RMK 3 US RACK MOUNT KIT DONGLESERVER PRO ING!!!,,,,,,,,,,,,,,,
