OEM_NUMBER,UPC,upc 12 digit  text,VENDPART,OEM_NAME,PRODNAME,DESCRIPTION,PRICE,LIST PRICE,UOM,ITEMS_PER_UOI,Min Order Qty,DAYS_ARO,Image Ref,IMAGE_NAME,country_of_origin,JWOD,green_material_flag,PSC_CODE,gds_Categoryname,UNSPSC4,TAA Compliant,,,,,,,,,,,,,,,,,,,,,,,
230395,82043003958,'082043003958,2RPZ3,303,Windshield Washer Tablets PK25,"230395,  MFR 303, Windshield Washer Additive/Concentrate Washer Fluid Type Summer Blend Size 1 Tablet Size/Net Weight - Blue Tube 1 Tablet 1 gal Dilution Ratio Freezing Point (F) 32 F Flash Point (F) - - Specific Gravity - Viscosity Index VOC Content - For Use With Water and Washer Fluid For Autos/Light/Heavy Duty Trucks Package Quantity 25",17.38,20.87,PK,25,1,3,https://static.grainger.com/rp/s/is/image/Grainger/290G69_AS02?$S7PRODUCT$,290G69_AS02.JPG,US,,N,4910,Washer Fluid and Windshield Treatments,47131828,Y  ,,,,,,,,,,,,,,,,,,,,,,,
303086YHE6,82043303089,'082043303089,6YHE6,303,Vehicle Protectant 16 oz.,"30308,  MFR 303, Vehicle Protectant 303 Aerospace  16 oz. Plastic Bottle White Milky White Milky Liquid pH 7.0-7.9 For Use With Vehicle Interiors and Exteriors",15.45,15.66,EA,1,1,3,https://static.grainger.com/rp/s/is/image/Grainger/6YHE6_AW01?$S7PRODUCT$,6YHE6_AW01.JPG,US,,N,4910,Interior/Exterior Cleaners,47131828,Y  ,,,,,,,,,,,,,,,,,,,,,,,
303206YHE5,82043303201,'082043303201,6YHE5,303,Vehicle Interior Protectant 1 Gal,"30320,  MFR 303, Vehicle Interior Protectant 303 Aerospace 1 gal. Plastic Bottle White Milky White Milky Liquid pH 7.0-7.9",70.94,95.96,EA,1,1,3,https://static.grainger.com/rp/s/is/image/Grainger/6YHE5_AS02?$S7PRODUCT$,6YHE5_AS02.JPG,US,,N,4910,Interior/Exterior Cleaners,47131828,Y  ,,,,,,,,,,,,,,,,,,,,,,,
038930,39956389303,'039956389303,36EA38,2000PLUS,Stamp Kit Black 10 Plastic,"038930,  MFR 2000PLUS, Stamp Kit Number of Bands 0 Font 10 Character Height 9-64 In. Imprint Area Width 2-1/4 In. Imprint Area Height 7/8 In. Ink Color Black Overall Height 8-3/4 In. Overall Length 6 In. Overall Width 1-3/4 In. Material Plastic For Use With Cosco Self-Ink Refill Black Features 6-Lines to create your custom message Includes Self-Inking Stamp Ink Pad Tweezer and Type with Over 725 Characters In 2 Sizes",20.96,33.72,EA,1,1,4,https://static.grainger.com/rp/s/is/image/Grainger/36EA38_AS01?$S7PRODUCT$,36EA38_AS01.JPG,AT,,N,5350,Message Date Stamps,44121604,Y  ,,,,,,,,,,,,,,,,,,,,,,,
038931,39956389310,'039956389310,36EA39,2000PLUS,Message Date Stamp Blue/Red 12 Plastic,"038931,  MFR 2000PLUS, Message Date Stamp Legend Completed Emailed Entered Scanned Number of Bands 5 Font 12 Character Height 5/32 In. Imprint Area Width 1-3/4 In. Imprint Area Height 1 In. Ink Color Blue/Red Overall Height 7 In. Overall Length 3-3/4 In. Overall Width 2-5/8 In. Material Plastic For Use With Cosco Self-Ink Refill Blue and Red Features 4 Popular E-Messages alone or with Dater for office use 5 year date band Includes Self-Inking Stamp",17.33,27.86,EA,1,1,4,https://static.grainger.com/rp/s/is/image/Grainger/36EA39_AS01?$S7PRODUCT$,36EA39_AS01.JPG,AT,,N,5350,Message Date Stamps,44121604,Y  ,,,,,,,,,,,,,,,,,,,,,,,
035346,,,3RAN7,2000PLUS,Message Stamp Confidential 5/16 ,"035346,  MFR 2000PLUS, Message Stamp Legend Confidential Ink Color Blue Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",12.69,14.96,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/3RAN7_AS01?$S7PRODUCT$,3RAN7_AS01.JPG,AT,,Y,7510,Message Stamps,60121701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
035347,,,3RAN8,2000PLUS,Message Stamp Copy 5/16 ,"035347,  MFR 2000PLUS, Message Stamp Legend Copy Ink Color Blue Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",12.69,14.96,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/3RAN8_AS01?$S7PRODUCT$,3RAN8_AS01.JPG,AT,,Y,7510,Message Stamps,60121701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
035349,,,3RAP1,2000PLUS,Message Stamp Faxed 5/16 ,"035349,  MFR 2000PLUS, Message Stamp Legend Faxed Ink Color Red Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",12.93,15.23,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/3RAP1_AS01?$S7PRODUCT$,3RAP1_AS01.JPG,AT,,Y,7510,Message Stamps,60121701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
035350,,,3RAP2,2000PLUS,Message Stamp Paid 5/16 ,"035350,  MFR 2000PLUS, Message Stamp Legend Paid Ink Color Red Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",12.93,15.23,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/3RAP2_AS01?$S7PRODUCT$,3RAP2_AS01.JPG,AT,,Y,7510,Message Stamps,60121701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
035351,,,3RAP3,2000PLUS,Message Stamp Posted 5/16 ,"035351,  MFR 2000PLUS, Message Stamp Legend Posted Ink Color Red Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",12.93,15.23,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/3RAP3_AS01?$S7PRODUCT$,3RAP3_AS01.JPG,AT,,Y,7510,Message Stamps,60121701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
