SINTEMP,SIN Title,PSC_CODE,SIN
382 1,TRANSLATION SERVICES -,R608,3821
382 2,INTERPRETATION SERVICES -,R608,3822
382 3,TRAINING AND EDUCATIONAL MATERIALS -,R608,3823
382 4,COMPREHENSIVE LINGUISTIC ANALYTICAL SUPPORT SERVICES (CLASS),R608,3824
382 5,Services for the Visual and Hearing Impaired -,R608,3825
382 6,Ancillary Supplies and/or Services -,7010,3826
382 99,Introduction of New Services -,7010,38299
520 1,Program Financial Advisor -,R704,5201
520 10,Transportation Audits -,R704,52010
520 11,Accounting -,R703,52011
520 12,Budgeting -,R704,52012
520 13,Complementary Financial Management Services -,R704,52013
520 14,Audit & Financial Training Services,R704,52014
520 15,Outsourcing Recurring Commercial Activities for Financial Management Services -,R704,52015
520 16,Business Information Services -,R704,52016
520 17,Risk Assessment and Mitigation Services -,R704,52017
520 18,Independent Risk Analysis -,R704,52018
520 19,Data Breach Analysis -,R704,52019
520 2,Transaction Specialist -,R704,5202
520 20,Comprehensive Protection Solutions -,R704,52020
520 21,Program Management Services -,R704,52021
520 22,Grants Management Support Services -,R703,52022
520 3,Due Diligence & Support Services -,R710,5203
520 4,Debt Collection -,R705,5204
520 5,Loan Servicing & Asset Management -,R704,5205
520 6,Professional Legal Services -,R704,5206
520 7,Financial & Performance Audits -,R704,5207
520 8,Complementary Audit Services -,R704,5208
520 9,Recovery Audits -,R704,5209
541 1,Advertising Services -,R701,5411
541 1000,Other Direct Costs (ODCs) are expenses other than labor hours -,R701,5411000
541 2,Public Relations Services -,R708,5412
541 3,Web Based Marketing Services -,D304,5413
541 4A,Market Research and Analysis -,R422,5414A
541 4B,Video / Film Production -,T006,5414B
541 4C,Exhibit Design and Implementation Services -,Y1PB,5414C
541 4D,"Conference, Events and Tradeshow Planning Services -",R499,5414D
541 4E,Commercial Photography Services -,T010,5414E
541 4F,Commercial Art and Graphic Design Services -,R499,5414F
541 4G,Challenges and Competitions Services -,R701,5414G
541 5,Integrated Marketing Services -,R701,5415
541 99,Introduction of New Services -,R701,54199
871 1,Strategic Planning for Technology Programs/Activities -,R425,8711
871 2,Concept Development and Requirements Analysis -,R425,8712
871 3,"System Design, Engineering and Integration -",R425,8713
871 4,Test and Evaluation -,R425,8714
871 5,Integrated Logistics Support -,R425,8715
871 6,Acquisition and Life Cycle Management -,R425,8716
871 7,Construction Management and Engineering Consulting Services Related to Real Property -,R425,8717
871 8,Ancillary Supplies and/or Services -,R425,8718
874 1,Integrated Consulting Services -,R499,8741
874 4,"Training Services:Instructor Led Training, Web Based Training and Education Courses, Course Development and Test Administration, Learning Management, Internships -",U006,8744
874 5,Ancillary Supplies and/or Services -,U009,8745
874 501,Supply and Value Chain Management -,R706,874501
874 503,Distribution and Transportation Logistics Services -,R706,874503
874 504,Deployment Logistics -,R706,874504
874 505,Logistics Training Services -,R706,874505
874 506,Ancillary Supplies and/or Services -,R706,874506
874 507,Operations & Maintenance Logistics Management and Support Services -,R706,874507
874 597,Ancillary Repair and Alterations -,R706,874597
874 599,Introduction of New Service -,R706,874599
874 6,Acquisition Management Support -,R707,8746
874 7,Integrated Business Program Support Services -,R499,8747
874 8,DAU and FAI Certified DAWIA and FAC Acquisition Workforce Training for GS-1102 and non-1102 Personnel Training for Acquisition Workforce (GS-1102 and non-GS-1102) -,U009,8748
874 9,"Off-the-Shelf Training Devices and Training Materials:  Print, Electronic, Audio-Visual, Multi-Media, and Simulation Training Devices",6910,8749
874 99,Introduction of New Services -,R499,87499
899 1,Environmental Consulting Services -,F999,8991
899 10,Ancillary Supplies and/or Services -,F999,89910
899 3,Environmental Training Services -,F999,8993
899 5,Materials and Waste Recycling and Disposal Services -,F999,8995
899 7,Geographic Information Systems (GIS) Services -,F999,8997
899 8,Remediation and Reclamation Services -,F999,8998
899 99,Introduction of New Services -,F999,89999
C100 01,Introduction of New Services -,R499,C10001
C100 03,Ancillary Supplies and/or Services -,R499,C10003
C132 51,Information Technology Professional Services   SUBJECT TO COOPERATIVE PURCHASING,D399,C13251
C382 1,TRANSLATION SERVICES -,R608,C3821
C382 2,Intrepretation Services -,R608,C3822
C382 3,Training and Educational Materials -,R608,C3823
C382 4,Comprehensive Linguistic Analytical Support Services -,R608,C3824
C382 5,Services for the Visual and Hearing Impaired -,R608,C3825
C520 1,Program Financial Advisor -,R704,C5201
C520 10,Transportation Audits -,R704,C52010
C520 11,Accounting -,R703,C52011
C520 12,Budgeting -,R704,C52012
C520 13,Complementary Financial Management Services -,R704,C52013
C520 14,Audit & Financial Training Services  -,R704,C52014
C520 15,Outsourcing Recurring Commercial Activities for Financial Management Services -,R704,C52015
C520 16,Business Information Services -,R704,C52016
C520 17,Risk Assessment and Mitigation Services -,R704,C52017
C520 18,Independent Risk Analysis -,R704,C52018
C520 19,Data Breach Analysis -,R704,C52019
C520 2,Transaction Specialist -,R704,C5202
C520 20,Comprehensive Protection Solutions -,R704,C52020
C520 21,Program Management Services -,R704,C52021
C520 22,Grants Management Support Services -,R703,C52022
C520 3,Due Diligence and Support Services -,R710,C5203
C520 4,Debt Collection -,R705,C5204
C520 5,Loan Servicing & Asset Management,R704,C5205
C520 6,Professional Legal Services -,R704,C5206
C520 7,Financial & Performance Audits,R704,C5207
C520 8,Complementary Audit Services -,R704,C5208
C520 9,Recovery Audits,R704,C5209
C541 1,Advertising Services -,R701,C5411
C541 1000,Other Direct Costs (ODCs) are expenses other than labor hours -,R701,C5411000
C541 2,Public Relations Services -,R708,C5412
C541 3,Web Based Marketing Services  -,D304,C5413
C541 4A,Market Research and Analysis -,R422,C5414A
C541 4B,Video/Film Production -,T006,C5414B
C541 4C,Exhibit Design and Implementation Services -,Y1PB,C5414C
C541 4D,"Conference, Events and Tradeshow Planning Services -",R499,C5414D
C541 4E,Commercial Photography Services -,T010,C5414E
C541 4F,Commercial Art and Graphic Design Services  -,R499,C5414F
C541 4G,Challenges and Competition Services -,R701,C5414G
C541 5,Integrated Marketing Services -,R701,C5415
C595 21,HUMAN RESOURCE SERVICES (Excluding EEO Services) -,R799,C59521
C871 1,Strategic Planning for Technology Programs/Activities -,R425,C8711
C871 2,Concept Development and Requirements Analysis -,R425,C8712
C871 202,Energy Management Planning and Strategies -,R425,C871202
C871 207,Energy Audit Services -,R425,C871207
C871 208,Resource Efficiency Management (REM) -,R425,C871208
C871 211,Energy Consulting Services -,R425,C871211
C871 3,"System Design, Engineering and Integration -",R425,C8713
C871 4,Test and Evaluation Services -,R425,C8714
C871 5,Integrated Logistics Support  Services -,R425,C8715
C871 6,Acquisition and Life Cycle Management Services -,R425,C8716
C871 7,Construction Management and Engineering Consulting Services Related to Real Property -,R425,C8717
C874 1,Integrated Consulting Services -,R499,C8741
C874 4,"Training Services: Instructor Led Training, Web Based Training Web Based Training and Education Courses, Course Development and Test Administration, Learning Management, Internships -",U006,C8744
C874 501,Supply and Value Chain Management -,R706,C874501
C874 503,Distribution and Transportation Logistics Services -,R706,C874503
C874 504,Deployment Logistics Services -,R706,C874504
C874 505,Logistics Training Services -,R706,C874505
C874 507,Operations & Maintenance Logistics Management and Support Services -,R706,C874507
C874 597,Ancillary Repair and Alterations -,R706,C874597
C874 6,Acquisition Management Support -,R707,C8746
C874 7,Integrated Business Program Support Services -,R499,C8747
C874 8,DAU and FAI Certified DAWIA and FAC Acquisition Workforce Training for GS-1102 and non-1102 Personnel Training for Acquisition Workforce (GS-1102 and non-GS-1102) -,U009,C8748
C874 9,"Off-the-Shelf Training Devices and Training Materials:  Print, Electronic, Audio-Visual, Multi-Media, and Simulation Training Devices -",6910,C8749
C899 1,Environmental Consulting Services -,F999,C8991
C899 3,Environmental Training Services -,F999,C8993
C899 5,Materials and Waste Recycling and Disposal Services -,F999,C8995
C899 7,Geographic Information Systems (GIS) Services -,F999,C8997
C899 8,Remediation and Reclamation Services -,F999,C8998
SIN,SIN Title,PSC ,SIN
003 01,Smart Buildings Systems Integrator,J035,00301
003 100,Ancillary Supplies and/or Services -,J035,003100
003 97,Ancillary Repair and Alterations,J035,00397
371 001,Grounds and/or Cemetery Maintenance,S208,371001
371 002,Tree Planting/Trimming/Removal,S208,371002
371 003,Pest Control,S207,371003
541 001,Independent Elevator Inspection Services,H335,541001
541 099,Introduction of New Services,H335,541099
561 001,Fire Alarm System Preventative Maintenance and Repair Services,J035,561001
561 002,Water Based Fire Suppression System Preventative Maintenance and Repair Services,J035,561002
801 001,Surface Preparation and/or Application of Chemical Compounds,J025,801001
801 099,Introduction of New Services,J025,801099
811 001,Elevator and Escalator Preventative Maintenance,J035,811001
811 002,Complete Facilities Maintenance,S216,811002
811 003,Complete Facilities Management,J035,811003
